Request Number,Send Timestamp,Receive Timestamp,Duration (ms)
95,726.355326838,726.355373466,0.04662799995003297
96,726.355428306,726.355453831,0.025524999955450767
97,726.355509415,726.35553778,0.028364999934638035
98,726.35559244,726.35561892,0.02647999997407169
99,726.355671399,726.355694627,0.02322800003184966
100,726.355745666,726.355768594,0.022928000021238404
101,726.355837583,726.355869046,0.03146299991385604
102,726.355930034,726.355955312,0.025277999952777463
103,726.356043824,726.356066117,0.022292999915407563
104,726.356099315,726.356115863,0.016547999962313042
105,726.356144256,726.356160233,0.015976999975464423
106,726.356189431,726.356205855,0.01642400002310751
107,726.356232698,726.356248748,0.01604999999926804
108,726.356278874,726.35629524,0.016365999954359722
109,726.35632701,726.356343608,0.016598000001977198
110,726.356371572,726.35638769,0.016118000075948657
111,726.356417826,726.356434057,0.01623100001779676
112,726.356463815,726.356480038,0.016222999988713127
113,726.356510221,726.356526663,0.016441999946437136
114,726.356556848,726.356631401,0.07455299999037379
115,726.356669625,726.35668652,0.016895000044314656
116,726.356717218,726.356732592,0.015373999985968112
117,726.356762419,726.356777843,0.015424000025632267
118,726.356807867,726.356823432,0.015565000012429664
119,726.356853159,726.356868606,0.015447000009771727
120,726.356898583,726.356913932,0.015349000022979453
121,726.356944508,726.356960485,0.015976999975464423
122,726.356989977,726.357022711,0.03273400000125548
123,726.357055718,726.357073043,0.01732500004436588
124,726.357103595,726.35712024,0.016644999959680717
125,726.357150333,726.357166586,0.016252999898824783
126,726.357196989,726.357216858,0.01986899997064029
127,726.357250362,726.357266562,0.016200000004573667
128,726.357296604,726.357312842,0.016238000057455793
129,726.357343421,726.3573595,0.016079000033641933
130,726.357389526,726.357405575,0.01604900000984344
131,726.357435485,726.357452173,0.01668799995968584
132,726.357481847,726.357497829,0.01598199992258742
133,726.357571501,726.35759036,0.018858999965232215
134,726.357622796,726.357639088,0.016292000054818345
135,726.35766944,726.357685407,0.015966999967531592
136,726.357715602,726.357732428,0.01682599997820944
137,726.357762468,726.357779062,0.016593999930591963
138,726.357809073,726.357825286,0.016212999980780296
139,726.357855274,726.357871546,0.016271999925265845
140,726.357901836,726.357918017,0.016180999978132604
141,726.357959,726.357987025,0.028025000005982292
142,726.358069322,726.358099567,0.030244999948081386
143,726.358167743,726.358200773,0.03303000005416834
144,726.358247327,726.358272156,0.024829000039972016
145,726.358331126,726.358356223,0.025096999934248743
146,726.358408939,726.358437318,0.0283790000139561
147,726.358483913,726.358507157,0.023243999976330088
148,726.358557914,726.358582678,0.024763999931565195
149,726.358640052,726.358668688,0.028635999910875398
150,726.358718594,726.358742646,0.02405199995791918
151,726.358791692,726.358815872,0.024180000082196784
152,726.358869474,726.35889241,0.0229359999366352
153,726.358940913,726.358964189,0.02327599997897778
154,726.359036184,726.359064968,0.028783999937331828
155,726.359125411,726.359152566,0.027154999997947016
156,726.359367132,726.359399624,0.03249200005939201
157,726.359458083,726.35948303,0.024946999928943114
158,726.359550179,726.359576133,0.02595399996607739
159,726.359641434,726.359667138,0.02570399999513029
160,726.359719109,726.359743819,0.024709999934202642
161,726.359794748,726.359819499,0.024750999955358566
162,726.359875766,726.359900198,0.024432000031993084
163,726.359954018,726.359978424,0.024405999965892988
164,726.360063667,726.360092846,0.0291790000801484
165,726.360147163,726.360171758,0.02459500001350534
166,726.360226808,726.360251239,0.024431000042568485
167,726.360305335,726.360330497,0.025161999928968726
168,726.360387425,726.360412076,0.024650999989717093
169,726.360465971,726.360490539,0.024567999957980646
170,726.360544106,726.360568532,0.02442599998175865
171,726.360622258,726.360646602,0.024343999939446803
172,726.360701837,726.360726081,0.024244000087492168
173,726.360782558,726.360807921,0.02536299996336311
174,726.360861474,726.360886079,0.024605000021438173
175,726.360939692,726.360964288,0.02459600000292994
176,726.361044688,726.361072284,0.02759599999535567
177,726.361129926,726.361155619,0.02569299999777286
178,726.361209007,726.361235752,0.026745000013761455
179,726.36128789,726.361313441,0.025551000021550863
180,726.361366793,726.361393591,0.02679800002169941
181,726.361444784,726.361470329,0.02554499997131643
182,726.361519979,726.361544692,0.024713000016163278
183,726.361596634,726.361621687,0.02505300005850586
184,726.36167567,726.361706274,0.03060400001686503
185,726.361762001,726.361789135,0.027133999992656754
186,726.36184149,726.361866798,0.025308000090262794
187,726.361919046,726.361943764,0.024717999963286275
188,726.361995561,726.362050226,0.05466499999329244
189,726.362106845,726.362132861,0.026015999992523575
190,726.362186875,726.362223178,0.03630300000168063
