Request Number,Send Timestamp,Receive Timestamp,Duration (ms)
104,952.166853071,952.358424415,191.57134399995357
105,952.364447631,952.474968975,110.52134400006253
106,952.481362584,952.593123646,111.76106200002778
107,952.59932858,952.709994738,110.66615799995816
108,952.715622963,952.868121301,152.4983379999867
109,952.874472849,952.99677211,122.29926100008015
110,953.006299606,953.122948641,116.6490350000231
111,953.130245174,953.257863834,127.61865999993915
112,953.263849306,953.365378407,101.5291009999828
113,953.371861775,953.585875013,214.01323800000682
114,953.591061762,953.789193622,198.1318599999895
115,953.796403029,953.915827521,119.42449200000738
116,953.922640526,954.046805462,124.16493599994283
117,954.053377101,954.167961757,114.58465599991996
118,954.174586427,954.294373715,119.78728799999772
119,954.30278177,954.435245693,132.46392299993204
120,954.443216971,954.608507514,165.29054300008283
121,954.615560631,954.732719786,117.15915499996754
122,954.738742513,954.915991257,177.2487439999395
123,954.923068658,955.018397465,95.32880699998714
124,955.024564381,955.127772045,103.20766400002412
125,955.135506089,955.241810675,106.30458599996473
126,955.247243496,955.376329584,129.0860880000082
127,955.383895036,955.512088287,128.1932509999706
128,955.517362507,955.624447023,107.08451599998625
129,955.63008782,955.732671785,102.58396500000799
130,955.741083203,955.842682186,101.59898300003078
131,955.850065849,955.948995179,98.92933000003268
132,955.954271289,956.066929828,112.65853899999456
133,956.072736551,956.183765521,111.02897000000667
134,956.193293474,956.311322687,118.0292129999998
135,956.320834196,956.440895937,120.06174100008593
136,956.450959149,956.659240833,208.28168399998503
137,956.668675491,956.775225138,106.54964699995162
138,956.786083568,956.964346688,178.2631199999969
139,956.971933566,957.089241291,117.30772500004605
140,957.094959666,957.195739547,100.77988099999402
141,957.201564231,957.305597312,104.0330810000114
142,957.311723046,957.403607268,91.88422199997603
143,957.410864443,957.517697048,106.83260499990865
144,957.522850572,957.620538406,97.68783399999847
145,957.627226687,957.73439022,107.16353300006176
146,957.743108327,957.844691463,101.58313600004476
147,957.851556666,957.993364173,141.80750700006683
148,957.999106213,958.115490901,116.3846880000392
149,958.121215628,958.244062707,122.84707900005287
150,958.252356286,958.364234059,111.8777729999465
151,958.37029282,958.478347796,108.05497599994851
152,958.484168427,958.595841588,111.6731609999988
153,958.606138682,958.714350347,108.2116649999989
154,958.72172989,958.913089271,191.35938099998384
155,958.918756493,959.026208219,107.45172599990838
156,959.034623876,959.158656371,124.03249500005131
157,959.165325083,959.321101624,155.77654100002292
158,959.328500293,959.430058926,101.55863299996781
159,959.437392617,959.560233052,122.84043499994368
160,959.57158265,959.730724069,159.14141899997958
161,959.736873652,959.933397765,196.5241130000095
162,959.941929441,960.06692201,124.9925690000282
163,960.072894846,960.19230717,119.41232399999535
164,960.199263531,960.310373632,111.1101010000084
165,960.318545755,960.446078501,127.53274600004261
166,960.455706851,960.651329437,195.62258600001314
167,960.656692231,960.750059824,93.36759300003905
168,960.758743722,960.957267035,198.5233130000097
169,960.963142786,961.16263988,199.49709399998028
170,961.169157542,961.300063228,130.90568600000552
171,961.30533691,961.422839696,117.5027859999318
172,961.429160005,961.543088771,113.92876600007185
173,961.551406528,961.657601109,106.19458099995427
174,961.665374322,961.879156596,213.78227399998195
175,961.88505896,961.983747114,98.6881540000013
176,961.989488005,962.102517241,113.02923599998849
177,962.108490261,962.289639544,181.1492829999679
178,962.305591671,962.397132034,91.54036300003554
179,962.403684928,962.518525295,114.84036700005618
180,962.526074702,962.647872257,121.7975550000574
181,962.654130195,962.768147505,114.01731000000837
182,962.773158407,962.902957072,129.79866500006665
183,962.908366558,963.01631972,107.95316199994431
184,963.021144173,963.143276594,122.13242099994659
185,963.148469735,963.281412341,132.94260599991503
186,963.28740302,963.537544765,250.1417449999508
187,963.548136268,963.640651794,92.51552599994284
188,963.647073855,963.750138567,103.06471199999123
189,963.755749308,963.927102234,171.35292600005414
190,963.934054425,964.133669712,199.61528700002873
191,964.140489005,964.342932016,202.44301100001394
192,964.348033653,964.553122198,205.08854499996687
193,964.571615469,964.689437167,117.82169800005704
194,964.697203522,964.84824296,151.03943799999797
195,964.854310466,964.975354937,121.0444710000047
196,964.982044662,965.096687005,114.64234300001408
197,965.102693116,965.209866424,107.17330800002856
198,965.215452709,965.36280692,147.35421099999257
199,965.370886545,965.490924645,120.03809999998794
200,965.497400012,965.620046975,122.64696300007927
201,965.626116007,965.741572499,115.45649200002117
202,965.748168089,965.981329285,233.1611959999691
203,965.986345566,966.094358917,108.01335100006781
204,966.099536015,966.21728348,117.74746499997946
205,966.222738662,966.358876913,136.13825100003396
206,966.366561445,966.506239136,139.6776909999744
207,966.514208937,966.698842919,184.63398199992298
208,966.706495063,966.896482422,189.9873589999288
209,966.903878945,967.032343635,128.46468999998706
210,967.038440326,967.184806817,146.36649099998067
211,967.190447548,967.413238991,222.79144300000553
212,967.418821615,967.544984594,126.16297900001427
213,967.552142273,967.686368701,134.2264280000336
214,967.692788422,967.828318515,135.530092999943
215,967.834781738,967.957500131,122.71839300001375
216,967.963738593,968.09132354,127.58494699994571
217,968.096206828,968.212715077,116.50824899993495
218,968.225065623,968.432517343,207.45171999999457
219,968.446396441,968.639258991,192.86254999997254
220,968.645209205,968.84233381,197.12460499999906
221,968.84869021,968.970117556,121.42734600001859
222,968.975635824,969.092752297,117.11647299989636
223,969.101062023,969.219056764,117.99474099996132
224,969.224906805,969.353323591,128.4167860000025
225,969.358938975,969.488232139,129.2931640000461
226,969.494514412,969.619839662,125.3252500000599
227,969.625862733,969.76470765,138.84491700002854
228,969.772528981,969.915862697,143.3337159999155
229,969.921153601,970.041403109,120.24950800002898
230,970.048912883,970.16760917,118.69628700003432
231,970.176300383,970.285255501,108.95511800003987
232,970.290752211,970.480537408,189.78519699999197
233,970.486812431,970.686177788,199.36535700003333
234,970.690960127,970.800888292,109.92816499992841
235,970.809188581,970.940521177,131.3325960001066
236,970.948048388,971.061651903,113.60351500002253
237,971.067665536,971.197107396,129.44185999992897
238,971.204238491,971.402177207,197.93871600006696
239,971.408595827,971.526093774,117.49794699994709
240,971.53458825,971.656476055,121.8878050000285
241,971.66362736,971.785335163,121.70780300004935
242,971.791928923,971.914493803,122.56488000002719
243,971.921398815,972.027568298,106.1694830000306
244,972.033166716,972.222124474,188.95775800001502
245,972.22825612,972.335179063,106.92294300008598
246,972.340915488,972.451810333,110.89484500007529
247,972.457831781,972.56908865,111.25686900004439
248,972.577755793,972.695823887,118.06809399990925
249,972.724824528,972.835790175,110.96564700005729
250,972.842917491,973.040534633,197.6171420000128
251,973.047901454,973.182385978,134.48452399995858
252,973.189869517,973.350406113,160.53659599992898
253,973.35830181,973.553087484,194.78567400005886
254,973.559650902,973.757361929,197.71102699996845
255,973.762961291,973.868336444,105.37515299995448
256,973.874426922,974.010261936,135.8350140000084
257,974.018650951,974.12966939,111.01843899996311
258,974.136299754,974.258511456,122.21170199995868
